,seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,chi,sharp,Jvar,Kvar,Lvar,Kamp,Var_Status
755,  660,18.311,0.0224,17.542,0.0119,17.333,0.0158,1.094,-0.068, 0.292, 0.970, 0.355,99.999,0
756, 9940,19.890,0.1340,19.027,0.1390,18.781,0.0279,0.952, 1.505,-0.233, 0.929,-0.271,99.999,0
757,16596,19.447,0.0485,18.811,0.0416,18.446,0.0361,0.969, 0.445, 0.429, 0.994, 0.535,99.999,0
758, 3788,18.470,0.0234,17.324,0.0158,17.087,0.0181,1.136, 0.240, 0.923, 0.949, 1.097,99.999,0
759,18342,19.839,0.1189,19.321,0.0975,19.014,0.0596,1.273,-2.975, 0.508, 0.953, 0.607,99.999,0
760,12681,20.115,0.1459,19.108,0.1143,18.995,0.0493,0.966, 2.852, 0.559, 0.968, 0.678,99.999,0
761,14055,20.094,0.3879,19.020,0.0900,18.909,0.0788,0.818, 1.001, 1.962, 0.924, 2.271,99.999,0
762,13058,19.545,0.1290,18.479,0.0352,18.175,0.0229,0.832, 0.609, 0.544, 0.950, 0.648,99.999,0
763, 9059,99.999,9.9999,99.999,9.9999,18.551,0.0452,1.180, 1.131, 0.000, 0.000, 0.000,99.999,0
764, 1193,20.178,0.0990,19.087,0.0313,18.949,0.0479,0.729,-1.410, 0.075, 0.944, 0.089,99.999,0
765,10896,19.598,0.0379,18.869,0.0411,18.412,0.0467,0.782, 0.098, 1.502, 0.885, 1.667,99.999,0
766,16625,19.467,0.0504,18.719,0.0582,18.616,0.0257,1.062, 3.165,-0.039, 0.980,-0.048,99.999,0
767, 8260,18.981,0.0626,17.717,0.0789,17.117,0.0176,1.202, 0.666, 0.165, 0.949, 0.197,99.999,0
768,10219,20.047,0.1196,19.487,0.2991,19.179,0.0420,0.999,-2.649, 0.562, 0.925, 0.652,99.999,0
769,14257,20.425,0.4251,19.782,0.1473,19.528,0.1030,1.064,-2.268, 0.725, 0.960, 0.873,99.999,0
770,  236,19.867,0.1337,19.236,0.3039,19.116,0.0732,1.308, 3.837, 1.427, 0.916, 1.638,99.999,0
771,11877,17.448,0.1317,16.698,0.0125,16.188,0.0147,1.403, 0.188, 1.634, 0.914, 1.873,99.999,0
